UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
  263263   Characters
  253638   Errors
    3.66%  Accuracy

     563   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.21%  Characters Marked
    6.46%  Accuracy After Correction

     Ins    Subst      Del   Errors
      41       41   {y}-{dra öA2Limsr ~ 4 . ä B...}
      41       41   {}-{F~oo SodKda 2p2 r2 o e2~...}
      41        0   {s}-{r}
      41        0   {}-{ huru de ſkull båxga �...}
      41        0   {}-{d alla åtſkillige omſ...}
      40       40   {}-{den ſom utan någon af�...}
      40        0   {Kånan}-{, . . , . , . - , - , , ...}
      40        0   {m}-{n}
      40        0   {n}-{d}
      40        0   {t}-{g}
      40        0   {}-{on käfft i Riket ſom c...}
      39        0   {,}-{e}
      39        0   {har<\n>}-{. , ; , : , - , , , , , ...}
      39        0   {må<\n>}-{- - , , . . , , , . . . ...}
      39        0   {s}-{m}
      39        0   {}-{SStESSS2ESG2RBSBGEGRSBLe...}
      39        0   {}-{ſom mm ldt ras förmän...}
      39        0   {}-{ſo}
      38       38   {}-{r henne en ſkiälf ~Til...}
      38        0   {g}-{Döden har ockofta Huſe...}
      38        0   {s}-{ſå dyrbargåfwa blifwi...}
      38        0   {}-{2SESG3EEERSLSBiS2G22G2SE...}
      38        0   {}-{il}
      38        0   {}-{kommer til Ehr ſom en �...}
      37       37   {}-{a~E E 2 6 EE6EEE EE dan ...}
      37       37   {}-{~Berel Domaren ſkyller ...}
      37        0   {,}-{r}
      37        0   {k}-{}
      37        0   {m}-{d}
      37        0   {}-{k-omm kalladeSedolärand...}
      36       36   {�}-{�~- Lö-ö-S2S I ſå dy...}
      36        0   {l}-{ſ}
      36        0   {t}-{ſ}
      36        0   {}-{ar ſanm ſå dyrbargåf...}
      36        0   {}-{f�<9F>e man ätit likſo...}
      36        0   {}-{intet rna ar R BTa d d B...}
      36        0   {}-{in}
      36        0   {}-{ntet annat n bckla}
      36        0   {}-{t }
      36        0   {}-{tt}
      36        0   {}-{umerationetn ta maſiuka...}
      36        0   {}-{ſå}
      36        0   {�s}-{�ſ}
      36        0   {�}-{�friga mina anhrr wara f...}
      35       35   {hiär}-{~2 SSRSBSEG2GESBSESBS2EG...}
      35        0   {utan<\n>}-{, . . - , , ; - . , . , ...}
      35        0   {}-{t annat n bcklaga at en ...}
      34       34   {}-{d tl annat lan hon an ~ ...}
      34        0   {n}-{f}
      34        0   {s}-{nuffttil den änd}
      34        0   {}-{ h}
      34        0   {}-{ga}
      34        0   {}-{ä}
      33        0   {h}-{k}
      33        0   {n}-{l}
      33        0   {och}-{. ,}
      33        0   {och}-{han}
      33        0   {t}-{d}
      33        0   {}-{ nia är l ropuei etoele...}
      33        0   {}-{H}
      33        0   {}-{k f s) ssfsffssr sfss s)...}
      33        0   {}-{p}
      33        0   {}-{ſamma ſått ſöfwa SS...}
      32       32   {H}-{wär a~ EEEEEEEEEEE EEsE...}
      32        0   {<\n>}-{ , - : , , , , . , , , ,...}
      32        0   {<\n>}-{ - , . , - , , ; , , . ,...}
      32        0   {a}-{g}
      32        0   {b}-{d}
      32        0   {ch}-{m}
      32        0   {de}-{}
      32        0   {d}-{ſ}
      32        0   {e}-{o}
      32        0   {n}-{ }
      32        0   {n}-{m}
      32        0   {s}-{d}
      32        0   {s}-{h}
      32        0   {}-{ f}
      32        0   {}-{aS SEESESSSSEsESS2HF2F2F...}
      32        0   {}-{da}
      32        0   {}-{för}
      32        0   {}-{koliticl2) E6E2REEEEE EE...}
      32        0   {}-{la}
      32        0   {}-{re}
      32        0   {}-{tGtEBEG22SSSGGRSSGESEB �...}
      32        0   {}-{te}
      31       31   {}-{~EEEESRE2BE2222 EB2E02) ...}
      31        0   {,}-{ SSEEESSSSSEES2RS2SESBRS...}
      31        0   {Ax}-{lårer:wara det högſta...}
      31        0   {b}-{}
      31        0   {f}-{l}
      31        0   {h}-{f}
      31        0   {m}-{t}
      31        0   {sant}-{0000020S000S00S05000D0S0...}
      31        0   {u}-{a}
      31        0   {}-{i landet Du ſkallockweo...}
      31        0   {}-{ilde , - , , , , : , , ,...}
      31        0   {är<\n>}-{, . , , - , - , , - , , ...}
      30       30   {b}-{-------~~.~~ -il -~~ ~l ...}
      30       30   {}-{S~Rina Förmån frägade...}
      30        0   {P}-{om jag idag utan nttydni...}
      30        0   {g}-{d}
      30        0   {g}-{r}
      30        0   {jag}-{och}
      30        0   {och}-{jag}
      30        0   {w}-{f}
      30        0   {}-{ du wil taat wära Fdrf�...}
      30        0   {}-{ w}
      30        0   {}-{at}
      30        0   {}-{ha}
      30        0   {}-{och andra Delen af Hans ...}
      30        0   {}-{om}
      30        0   {}-{trodd,ſom}
      29        0   {d}-{g}
      29        0   {h}-{d}
      29        0   {in}-{ ge 2SSLLS222ERS3 ſå d...}
      29        0   {s}-{g}
      29        0   {t}-{s}
      29        0   {}-{ ? blin ånlk2n 2r t lAn...}
      29        0   {}-{emſke ſom kalla Ldboni...}
      29        0   {}-{ll han år rn lultat mre...}
      29        0   {�ll}-{�ktiga EranmmFru attian ...}
      28       28   {l}-{ R2e~oäaa ~2 ſå dyrba...}
      28       28   {på detta Rådet: Fria F...}-{a~26CC62CE26222E23BEEC23...}
      28        0   {<\n>}-{ , : . - . , . ? - , , ,...}
      28        0   {främmande}-{, , - , - - - , , , , ; ...}
      28        0   {j}-{}
      28        0   {l}-{t}
      28        0   {n}-{mm}
      28        0   {o}-{}
      28        0   {ss}-{fi}
      28        0   {st}-{ſ}
      28        0   {s}-{p}
      28        0   {u}-{}
      28        0   {}-{ H}
      28        0   {}-{Ella ras förmän och ny...}
      28        0   {}-{arochförhål förnufftt...}
      28        0   {}-{ge}
      28        0   {}-{le}
      28        0   {}-{me}
      28        0   {}-{på }
      28        0   {}-{wande uligNänad The ſo...}
      27        0   {Inge}-{B6GS6SGBBELS oSB2B2GEBSS...}
      27        0   {V}-{ochheherſka bruka och n...}
      27        0   {det}-{och}
      27        0   {en}-{, ,}
      27        0   {i}-{,}
      27        0   {i}-{a}
      27        0   {l}-{n}
      27        0   {n}-{s}
      27        0   {n}-{ſt}
      27        0   {stod<\n>}-{: , , . , , , . : , , : ...}
      27        0   {så}-{ſa}
      27        0   {}-{ ſig då}
      27        0   {}-{föp llnder Präſjen ä...}
      27        0   {}-{latſwara tyhan Slrlarne...}
      27        0   {}-{lig}
      27        0   {}-{n bcklaga at en te ſkul...}
      27        0   {}-{och mren ty den ena delt...}
      27        0   {}-{och wågade ſin L-S-S-�...}
      27        0   {}-{ſi}
      26       26   {�ttande och Siö-Skadern...}-{�h fu,oi-nnfn nmm,y M~ d...}
      26        0   {<\n>}-{ - . - . . - . . - . ; -...}
      26        0   {D}-{man tolſtſlut blifwera...}
      26        0   {Präst}-{. - . , - , , , - , , - ...}
      26        0   {a}-{ä}
      26        0   {de}-{a}
      26        0   {d}-{H}
      26        0   {f}-{n}
      26        0   {p}-{ſ}
      26        0   {redz, at stryka öfwer e...}-{,ſgntesLHbillighetochsr...}
      26        0   {sent i Ahlingsåhs, Catt...}-{pähåttrefot,til uplyſ...}
      26        0   {s}-{1 al mening mon ſag kan...}
      26        0   {}-{ atjag ſkal biuda Kong ...}
      26        0   {}-{ m}
      26        0   {}-{a }
      26        0   {}-{as}
      26        0   {}-{ck}
      26        0   {}-{förnuffttil }
      26        0   {}-{i }
      26        0   {}-{j}
      26        0   {}-{ka}
      26        0   {}-{n ?ril pk dentredieelen ...}
      26        0   {}-{nu ſa ſlug at til Er �...}
      26        0   {}-{reratkunngäſwkmyäld�...}
      26        0   {}-{å}
      25        0   {Feb}-{Oſhnlig at jag utan hin...}
      25        0   {Samwete.<\n>}-{, , , , - : , , - , - - ...}
      25        0   {a}-{i}
      25        0   {blifwer innom sina skran...}-{ochlaſt,ſåätſFol}
      25        0   {d}-{m}
      25        0   {folk<\n>}-{- . , - , . - , . , , . ...}
      25        0   {f}-{r}
      25        0   {r!<\n>Gyllenbalance}-{ . - , , - , , . - , - ,...}
      25        0   {r}-{l}
      25        0   {s}-{- - - blifwit nägra Tun...}
      25        0   {s}-{a}
      25        0   {}-{ och }
      25        0   {}-{ ofi äidamålet ſomm �...}
      25        0   {}-{- a e - 2 - 2 per r aler...}
      25        0   {}-{ch wårt mått omät o�...}
      25        0   {}-{han ſkal lefwg nat wara...}
      25        0   {}-{och nyttiadenſimmmma de...}
      25        0   {}-{roch Handtwårkare änd�...}
      25        0   {}-{wors ſom behagg derpå ...}
      25        0   {}-{�hra fropp hwilket ockſ...}
      25        0   {}-{ſka wäl at han anſtä...}
      25        0   {}-{ſä ſomnar jag in Mär...}
      24       24   {}-{ſinakadewäl ~RärettFe}
      24        0   {,}-{ at}
      24        0   {:}-{}
      24        0   {Cro}-{ſeed uti Tyg-Huſet hä}
      24        0   {Cæcus}-{, - . , , , ; , , , , - }
      24        0   {at}-{och}
      24        0   {a}-{å}
      24        0   {betiening}-{, . - , , , - : , , - , }
      24        0   {de}-{och}
      24        0   {d}-{int}
      24        0   {d}-{l}
      24        0   {e}-{å}
      24        0   {f}-{ſig d}
      24        0   {he}-{d,2 ffnmm-n AL-ou1uu1-1 }
      24        0   {h}-{w}
      24        0   {l}-{d}
      24        0   {mig}-{och}
      24        0   {och}-{det}
      24        0   {r,}-{n}
      24        0   {s}-{af o�<9F> Intet wl du ſ...}
      24        0   {t}-{m}
      24        0   {}-{7o E2EEEFEE2E6E6 fSFFjar}
      24        0   {}-{ad}
      24        0   {}-{cke}
      24        0   {}-{en }
      24        0   {}-{fwa}
      24        0   {}-{fwer aBBBBBy B --BBB ſa}
      24        0   {}-{fö}
      24        0   {}-{gg}
      24        0   {}-{han}
      24        0   {}-{heder öfwerlågga omm h}
      24        0   {}-{lle}
      24        0   {}-{mig äter på S22R200E2S}
      24        0   {}-{min Läi elleſtſkulle }
      24        0   {}-{mma}
      24        0   {}-{nm blide nm grymme Amne }
      24        0   {}-{nna}
      24        0   {}-{nyttia}
      24        0   {}-{r htymplg förnuffttil d}
      24        0   {}-{rförwig}
      24        0   {}-{tr}
      24        0   {}-{ut}
      24        0   {}-{ödwåndigtfy ll wil dri}
      23        0   {<\n>H}-{tſine3jRnegr htymplg f}
      23        0   {M}-{af ſamma lmilio ſom H}
      23        0   {f}-{t}
      23        0   {i}-{e}
      23        0   {om dagen taga in en god}-{Eubbe ſom förromtalte}
      23        0   {pp, - - - Fl. 24000000.}-{Edrarſamtomdes clleino}
      23        0   {t}-{e}
      23        0   {}-{ 2EE2EEEER2EER2EE Hlår}
      23        0   {}-{Rikens Ständer och Aun}
      23        0   {}-{argt phTRock-Papper 1 a}
      23        0   {}-{bwad jag ſkall ſwara }
      23        0   {}-{dewidallatilfällenhans}
      23        0   {}-{en Hock hwad hände ? H}
      23        0   {}-{fwandeSpelochdödan fö}
      23        0   {}-{mig på Ark ſom äro a}
      23        0   {}-{nſimmmma gtsintetläng}
      23        0   {}-{tänckte jag på ggat S}
      23        0   {}-{�ger Denta ſaken ifit�}
      23        0   {}-{ſom a hellaberg og tor}
      22       22   {N}-{~~ a med Laſter och D}
      22        0   { }-{r}
      22        0   { }-{ſ}
      22        0   {,}-{en}
      22        0   {,}-{s}
      22        0   {-lystnad hos dem, hwil}-{tnnen ſiåtrorſagdoc}
      22        0   {.}-{t}
      22        0   {<\n>}-{ , , . - . , , - , . -}
      22        0   {A}-{rna gBBaBBa BaB ttteha}
      22        0   {Herr Argus.<\n>Hos följ...}-{ſåofta meddetallmån}
      22        0   {Oratoren}-{. , , , - , - , , , : }
      22        0   {Upbyggelse}-{: , - . . , - , , , , }
      22        0   {de}-{ſ}
      22        0   {er}-{}
      22        0   {etc}-{, , , - , , , : - , , }
      22        0   {förm}-{han ſig i lighet bli }
      22        0   {gi}-{f}
      22        0   {g}-{tt}
      22        0   {g}-{ſ}
      22        0   {kall}-{är bunden wid det Kre}
      22        0   {kri}-{E3EEEEEEEE2NsEE2E Syt }
      22        0   {l Fruentimmers fåfeng}-{rpå.Sädantſkal komm}
      22        0   {llegio}-{m kom , , , : : - , , }
      22        0   {m}-{E5EEEEEETEEEEEEE25E SR}
      22        0   {na}-{}
      22        0   {n}-{de}
      22        0   {n}-{ſ}
      22        0   {s}-{bädehonomochflee den }
      22        0   {s}-{min lhiini triag och l}
      22        0   {te}-{ö}
      22        0   {t}-{a}
      22        0   {t}-{de}
      22        0   {}-{ e}
      22        0   {}-{ hon ſpelar nwggar ne}
      22        0   {}-{R}
      22        0   {}-{at den Hagen få ſee }
      22        0   {}-{bl}
      22        0   {}-{c}
      22        0   {}-{g }
      22        0   {}-{ll}
      22        0   {}-{män och ny}
      22        0   {}-{r }
      22        0   {}-{ren wilſe Hen lädeAl}
      22        0   {}-{rjförwäfjas,och ras }
      22        0   {}-{wa}
      22        0   {}-{äſwkmyäld�<9F>tmstſi...}
      22        0   {}-{ſag kan förſtä hwa}
      22        0   {}-{ſom Jaog---- bruka oc}
      22        0   {}-{ſå hade en dyfwel ſ}
      21       21   {icke ord}-{a~ EFEEE2E3EEEEF2EE2E}
      21        0   { Assecurantz-Contoirs}-{igtför Fäder ſs af}
      21        0   { fo}-{kundedejumedheſkiede}
      21        0   {, af sådant Gäckeri}-{ winn-och ſkiel-ögd}
      21        0   {,}-{tet}
      21        0   {.<\n>KUNDGI�<96>RELSE....}-{tiadenſimmmma trakta}
      21        0   {D}-{Lärdas antahl bruka }
      21        0   {D}-{d}
      21        0   {F}-{62EEEE6R6 E E6 nom n }
      21        0   {H}-{ochRughet och intetſ}
      21        0   {at}-{, ,}
      21        0   {a}-{o}
      21        0   {begge<\n>}-{, - . : , , ? , : . -}
      21        0   {de<\n>}-{, , , , . - , , , , -}
      21        0   {e}-{r}
      21        0   {f}-{ipanser de wiga rn Kr}
