UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   65227   Words
   47583   Misrecognized
   27.05%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       7        3    57.14   al
       9        9     0.00   ala
       1        1     0.00   alamodiå
       1        0   100.00   alarm
       1        0   100.00   alb
       1        1     0.00   albaneå
       1        0   100.00   albanien
       1        1     0.00   albano
      11        5    54.55   albo
       3        2    33.33   album
       1        1     0.00   alchymiå
       1        1     0.00   alcmena
       1        0   100.00   alde
      29       21    27.59   aldeles
       1        1     0.00   aldenå
       1        1     0.00   aldrabã
       1        1     0.00   aldrafijna
       1        1     0.00   aldralã
       1        1     0.00   aldraringaå
       1        1     0.00   aldraå
       8        1    87.50   aldrig
       4        2    50.00   aldrigh
       1        1     0.00   alecto
       1        1     0.00   aledes
       2        2     0.00   alenaå
       1        0   100.00   alexan
       1        1     0.00   alexander
       1        1     0.00   alexandro
       1        0   100.00   alexipharmaca
       1        1     0.00   alffuar
       1        1     0.00   alffwarå
       1        1     0.00   alfware
       1        1     0.00   alfwares
       3        3     0.00   alfwarå
       1        1     0.00   algebraiå
       1        1     0.00   algement
       2        2     0.00   alia
       1        1     0.00   alic
       1        1     0.00   alidet
       1        1     0.00   alig
       1        1     0.00   aligen
       1        1     0.00   aligh
       1        1     0.00   alighan
       1        0   100.00   alis
       1        1     0.00   alium
      73       23    68.49   alla
       3        0   100.00   allahanda
       1        1     0.00   allan
       1        0   100.00   allareda
       1        0   100.00   allaredan
       2        2     0.00   allaå
       1        1     0.00   alldenå
       2        2     0.00   alldrafã
       1        1     0.00   alldramã
      49       19    61.22   alle
       5        1    80.00   allehanda
       1        1     0.00   allemans
       5        1    80.00   allena
      40       40     0.00   allenaå
       1        1     0.00   alleneå
       1        0   100.00   aller
       3        3     0.00   alleå
       1        1     0.00   allium
       6        2    66.67   allmogen
       7        7     0.00   allmã
       9        1    88.89   allom
       1        1     0.00   allpes
       1        1     0.00   allwiå
       1        1     0.00   allã
       1        0   100.00   alm
       1        1     0.00   almar
       1        1     0.00   almeã
       1        0   100.00   almoge
       2        2     0.00   almogen
       5        5     0.00   almã
       9        7    22.22   aln
       2        2     0.00   alnar
       3        2    33.33   alnars
       2        2     0.00   alnen
       1        1     0.00   alon
       1        0   100.00   alopecurus
       2        2     0.00   alphonå
       3        3     0.00   alrahã
       1        1     0.00   alsingen
       2        2     0.00   alsmã
       2        2     0.00   alswã
      92       42    54.35   alt
       1        1     0.00   altad
       2        2     0.00   altare
       1        0   100.00   altaret
       2        1    50.00   alteration
       3        3     0.00   altet
       2        2     0.00   altfã
       1        1     0.00   althen
       1        1     0.00   althenå
      13        8    38.46   altid
       1        1     0.00   altig
      12       10    16.67   altijd
       4        4     0.00   altijdh
       1        0   100.00   altljd
       1        1     0.00   altwad
      20       20     0.00   altå
       1        1     0.00   alus
       1        1     0.00   alwarlighan
       2        2     0.00   alzmã
       3        3     0.00   alã
       1        1     0.00   alå
      29       27     6.90   am
       1        1     0.00   ama
       1        0   100.00   amara
       1        1     0.00   amaryllis
       1        1     0.00   amb
       1        1     0.00   ambla
       3        3     0.00   ambling
       1        1     0.00   ambra
       1        1     0.00   ambt
       5        5     0.00   ame
       1        0   100.00   amen
       1        1     0.00   amer
       1        1     0.00   america
       1        1     0.00   ameringar
       1        1     0.00   amfã
       2        2     0.00   amheet
       3        3     0.00   amhet
       1        1     0.00   amheter
       1        1     0.00   amica
       1        1     0.00   amiochia
       1        1     0.00   amiå
       1        1     0.00   amkat
       2        2     0.00   amla
       1        1     0.00   amlada
       2        2     0.00   amlade
       2        2     0.00   amlar
       2        2     0.00   amlas
       2        2     0.00   amlat
       1        1     0.00   amling
       1        1     0.00   amlingen
       1        1     0.00   amlingenes
       1        1     0.00   amlingens
       1        1     0.00   amlings
       1        1     0.00   amm
      87       87     0.00   amma
      13       11    15.38   amman
       2        2     0.00   ammanblandade
       1        1     0.00   ammanbun
       1        1     0.00   ammandrager
       1        1     0.00   ammanfogad
       1        1     0.00   ammangaddning
       1        1     0.00   ammankalla
       1        1     0.00   ammanknippe
       1        1     0.00   ammankom
       1        1     0.00   ammankommit
       1        1     0.00   ammanlopp
       6        6     0.00   ammans
       1        1     0.00   ammanwext
       5        5     0.00   ammanå
       3        3     0.00   ammaå
       7        7     0.00   amme
       1        0   100.00   ammor
       1        1     0.00   ammorne
       1        1     0.00   amn
       1        1     0.00   amo
       2        1    50.00   amour
       1        1     0.00   amphitryons
      10        9    10.00   ampt
       1        1     0.00   amptlighen
       1        1     0.00   amrã
      63       62     1.59   amt
       2        2     0.00   amtal
       1        1     0.00   amtida
       1        1     0.00   amtycke
       1        1     0.00   amtyckia
       1        1     0.00   amtyckie
       1        1     0.00   amtykt
       1        0   100.00   amur
       1        1     0.00   amus
       1        1     0.00   amwetet
       1        1     0.00   ana
       1        1     0.00   anam
       1        1     0.00   anbelangande
       3        1    66.67   anbelangar
       1        1     0.00   anbin
       5        3    40.00   anckar
       1        1     0.00   anckor
       1        1     0.00   anda
       1        0   100.00   andacht
       3        1    66.67   andan
       1        0   100.00   andar
       1        0   100.00   andars
       2        0   100.00   andas
      12        9    25.00   ande
       1        1     0.00   andedrã
       1        1     0.00   andelig
       2        1    50.00   andeligha
       1        1     0.00   andeligit
       3        0   100.00   anders
       1        1     0.00   andes
       1        1     0.00   andorn
      72       28    61.11   andra
       1        1     0.00   andragas
       1        1     0.00   andrat
      33       15    54.55   andre
       1        0   100.00   andreas
       1        1     0.00   andring
       1        0   100.00   andro
       3        2    33.33   androm
       2        2     0.00   andry
       2        2     0.00   andten
       1        1     0.00   andtá
       5        4    20.00   anethum
       1        1     0.00   anfechta
       1        1     0.00   anfeende
       1        1     0.00   anferdig
       9        9     0.00   anfã
       1        1     0.00   ang
       1        1     0.00   angelã
       2        1    50.00   angen
       1        0   100.00   angenem
       1        1     0.00   angri
       1        1     0.00   angrijpne
       3        1    66.67   angripas
       1        1     0.00   anguincos
       6        6     0.00   anguå
       9        9     0.00   angã
       3        3     0.00   anhã
       1        1     0.00   anian
       1        1     0.00   animoå
       1        1     0.00   anis
       1        1     0.00   anitas
       1        1     0.00   aniå
       1        0   100.00   anklagande
       1        0   100.00   ankom
       1        0   100.00   ankommen
       1        1     0.00   anlade
       1        0   100.00   anlagd
       6        5    16.67   anledning
       2        2     0.00   anlã
       7        3    57.14   anm
       1        1     0.00   anmarkning
       1        0   100.00   anmodan
       7        7     0.00   anmã
       2        2     0.00   ann
       1        1     0.00   anna
       1        0   100.00   annalkandes
      24        4    83.33   annan
       2        2     0.00   annar
       3        0   100.00   annars
      47       16    65.96   annat
       1        0   100.00   annen
       1        1     0.00   anner
       3        3     0.00   annerligen
       2        2     0.00   annerligha
       1        1     0.00   anni
       1        1     0.00   anning
       2        2     0.00   anningen
      11        7    36.36   anno
       1        1     0.00   annolijk
       3        3     0.00   annolikt
       5        3    40.00   annor
       1        0   100.00   annorle
       4        0   100.00   annorledes
       1        0   100.00   annorlun
       2        1    50.00   annorlunda
       4        4     0.00   annorå
       1        1     0.00   annum
       1        1     0.00   anropa
       1        1     0.00   anrope
       2        2     0.00   anrã
       1        1     0.00   ans
       3        3     0.00   ant
       1        0   100.00   antag
       2        0   100.00   antagen
       1        1     0.00   antagne
       2        0   100.00   antalet
       2        2     0.00   ante
       1        1     0.00   anteknat
       1        1     0.00   anthemis
       6        6     0.00   anthera
       1        1     0.00   antheris
       1        0   100.00   antimoniat
       1        1     0.00   antimoniati
       1        1     0.00   antimonii
       1        1     0.00   antin
       1        1     0.00   antinge
      19        6    68.42   antingen
       1        1     0.00   antiopa
       1        1     0.00   antiquariens
       1        1     0.00   antiqui
       1        1     0.00   antiå
       1        0   100.00   antog
       1        1     0.00   antonino
       1        1     0.00   antã
       1        0   100.00   anwenda
       1        1     0.00   anwender
       2        2     0.00   anwã
      46       46     0.00   anå
       1        0   100.00   ap
       1        1     0.00   apertã
       2        2     0.00   aphelia
       1        1     0.00   aphelio
       1        1     0.00   aphrodiå
       2        1    50.00   apice
       1        0   100.00   apio
       6        3    50.00   apium
       2        2     0.00   apothekare
       2        1    50.00   apotheket
       1        0   100.00   apotheque
       2        2     0.00   apothequet
       4        4     0.00   apoå
       1        1     0.00   appare
       1        1     0.00   appetit
       1        1     0.00   appetiten
       1        1     0.00   applauå
       1        1     0.00   applicerade
       1        0   100.00   approbe
       3        3     0.00   aqua
       1        0   100.00   aquafort
       1        0   100.00   aquatica
       4        2    50.00   aquaticum
      40       32    20.00   ar
       2        1    50.00   arabien
       1        1     0.00   arabiå
       1        1     0.00   aratus
       1        0   100.00   arbe
       1        1     0.00   arbet
       1        0   100.00   arbetade
       1        0   100.00   arbetades
       1        0   100.00   arbetande
       2        1    50.00   arbetar
       1        0   100.00   arbetare
       1        1     0.00   arbetarne
       4        1    75.00   arbete
       2        2     0.00   arbeten
       1        1     0.00   arbetet
       9        8    11.11   arbets
       1        1     0.00   arbogenå
       1        1     0.00   arbot
       3        3     0.00   arbutus
       5        5     0.00   arc
       1        1     0.00   arcad
       1        1     0.00   arcadien
       1        1     0.00   arcanum
       1        1     0.00   archi
       1        1     0.00   archiatern
       1        1     0.00   archiatorens
       1        0   100.00   archivo
       1        1     0.00   arcturum
       1        0   100.00   ardieerne
       1        1     0.00   area
       7        5    28.57   arf
       1        1     0.00   arflã
       1        1     0.00   arfs
       3        3     0.00   arfwingar
       1        1     0.00   arfwingarna
       1        0   100.00   arga
       1        1     0.00   argar
       1        1     0.00   argeus
       1        1     0.00   arghet
       1        1     0.00   argyrocomes
       1        1     0.00   ari
       1        1     0.00   arinnans
       1        0   100.00   aristida
       1        1     0.00   ariå
       2        0   100.00   arm
       1        0   100.00   armar
       2        0   100.00   armarna
       2        2     0.00   armarne
       1        1     0.00   arme
       1        1     0.00   armeen
       1        0   100.00   armen
       1        0   100.00   armodet
       4        4     0.00   arne
       1        1     0.00   arnes
       1        1     0.00   arom
       1        0   100.00   aromatici
       2        2     0.00   aromatiå
       2        2     0.00   aroå
       1        1     0.00   arroditur
       6        3    50.00   art
       1        1     0.00   artemi
       1        1     0.00   artemiå
       1        0   100.00   arten
       5        3    40.00   arter
       1        1     0.00   artificum
       1        1     0.00   artigt
       1        0   100.00   artik
       1        1     0.00   arum
       7        4    42.86   arundo
       3        3     0.00   arvenå
       1        1     0.00   arâ
       1        1     0.00   arå
       1        1     0.00   aterkomå
       1        1     0.00   atha
       2        2     0.00   athanaå
       1        0   100.00   athen
       1        1     0.00   athos
       1        1     0.00   atilis
       1        1     0.00   atilla
       1        1     0.00   ativum
       1        1     0.00   ativus
       1        1     0.00   atmospha
       1        1     0.00   atmospher
       3        3     0.00   atmoå
       1        1     0.00   atque
       1        1     0.00   atram
       1        1     0.00   atri
       3        3     0.00   ats
      89       41    53.93   att
      15       15     0.00   atte
       1        1     0.00   attention
       1        1     0.00   atter
       1        1     0.00   atteritur
       2        2     0.00   attes
       3        3     0.00   atteå
       1        0   100.00   attra
       1        1     0.00   attrac
       2        1    50.00   attrahera
       1        1     0.00   attter
       3        1    66.67   au
       1        1     0.00   aub
       1        1     0.00   auc
       1        1     0.00   auctoren
       1        1     0.00   audacia
       1        1     0.00   audientz
       1        1     0.00   audra
       1        1     0.00   augu
       9        9     0.00   auguå
       2        2     0.00   aurora
       1        1     0.00   auta
       1        1     0.00   authorernes
       1        1     0.00   autingen
       1        1     0.00   auå
       1        1     0.00   avarus
       1        1     0.00   ave
       8        5    37.50   avena
       1        1     0.00   avenam
       1        0   100.00   avenamque
       1        1     0.00   avis
       1        0   100.00   awarer
       9        4    55.56   ax
       1        1     0.00   axel
       1        1     0.00   axen
       5        0   100.00   axet
       1        0   100.00   axets
       1        1     0.00   ayllende
       2        2     0.00   aã
      19       19     0.00   aå
      22        0   100.00   b
       2        2     0.00   ba
       1        1     0.00   baak
       2        2     0.00   baakfoot
       1        1     0.00   baakvgn
       1        0   100.00   baar
       1        1     0.00   baara
       1        1     0.00   babilo
       2        0   100.00   babylon
       1        1     0.00   babylonier
       1        1     0.00   baccifer
       1        1     0.00   backa
       1        1     0.00   backewepling
       2        0   100.00   bad
       1        0   100.00   badda
       1        0   100.00   baddas
       1        1     0.00   badh
       1        1     0.00   baijo
       1        1     0.00   baiox
       1        0   100.00   bak
       1        0   100.00   baka
       1        1     0.00   bakas
       2        2     0.00   bakers
